,latitude,longitude,address,birth_place
chris mcnealy,36.7014631,-118.7559974,"California, United States of America",California
chris mihm,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
chris mills,36.7014631,-118.7559974,"California, United States of America",California
chris morris,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
chris mullin,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
chris munk,36.7014631,-118.7559974,"California, United States of America",California
chris owens,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
chris paul,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
chris porter,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
chris quinn,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
chris richard,27.7567667,-81.4639835,"Florida, United States of America",Florida
chris robinson,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
chris singleton,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
chris smith,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
chris taft,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
chris washburn,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
chris webber,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
chris welp,51.0834196,10.4234469,"Deutschland, Europe",Germany
chris whitney,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
chris wilcox,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
chris wright,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
christian eyenga,-15.4139213,28.289698,"Democratic Republic Of Congo, Parirenyetwa Road, Fairview, Lusaka, Lusaka Province, 1010, Zambia",Democratic Republic of the Congo
christian laettner,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
christian wood,36.7014631,-118.7559974,"California, United States of America",California
chubby cox,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
chuck aleksinas,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
chuck grigsby,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
chuck hayes,36.7014631,-118.7559974,"California, United States of America",California
chuck mencel,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
chuck mrazovich,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
chuck nevitt,38.7251776,-105.6077167,"Colorado, United States of America",Colorado
chuck person,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
chuck terry,36.7014631,-118.7559974,"California, United States of America",California
chuck williams,38.7251776,-105.6077167,"Colorado, United States of America",Colorado
chuckie williams,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
chucky atkins,27.7567667,-81.4639835,"Florida, United States of America",Florida
chucky brown,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
cj kupec,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
cj mccollum,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
cj miles,31.8160381,-99.5120986,"Texas, United States of America",Texas
cj watson,39.5158825,-116.8537227,"Nevada, United States of America",Nevada
cj wilcox,39.4225192,-111.7143584,"Utah, United States of America",Utah
cj williams,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
clarence glover,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
clarence kea,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
clarence weatherspoon,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
clark kellogg,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
claude english,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
claude gregory,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
claude terry,36.7014631,-118.7559974,"California, United States of America",California
clay johnson,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
cleanthony early,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
clem haskins,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
clemon johnson,27.7567667,-81.4639835,"Florida, United States of America",Florida
cleo hill,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
cleveland buckner,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
cliff alexander,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
cliff barker,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
cliff hagan,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
cliff levingston,36.7014631,-118.7559974,"California, United States of America",California
cliff meely,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
cliff pondexter,36.7014631,-118.7559974,"California, United States of America",California
cliff robinson,36.7014631,-118.7559974,"California, United States of America",California
clifford lett,27.7567667,-81.4639835,"Florida, United States of America",Florida
clifford ray,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
clifford robinson,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
clifford rozier,27.7567667,-81.4639835,"Florida, United States of America",Florida
clint capela,46.7985624,8.2319736,Schweiz/Suisse/Svizzera/Svizra,Switzerland
clint mcdaniel,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
clint richardson,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
clint wager,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
clinton smith,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
clinton wheeler,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
clyde drexler,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
clyde lee,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
clyde lovellette,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
clyde mayes,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
coby dietrick,36.7014631,-118.7559974,"California, United States of America",California
coby karl,47.3752671,-109.6387579,"Montana, United States of America",Montana
cody zeller,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
cole aldrich,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
conner henry,36.7014631,-118.7559974,"California, United States of America",California
connie dierking,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
connie hawkins,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
connie norman,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
connie simmons,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
corey beck,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
corey benjamin,36.7014631,-118.7559974,"California, United States of America",California
corey brewer,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
corey crowder,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
corey gaines,36.7014631,-118.7559974,"California, United States of America",California
corey maggette,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
corey williams,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
corie blount,36.7014631,-118.7559974,"California, United States of America",California
corky calhoun,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
corliss williamson,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
cornelius cash,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
cornell warner,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
corny thompson,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
corsley edwards,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
cory alexander,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
cory blackwell,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
cory carr,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
cory higgins,36.7014631,-118.7559974,"California, United States of America",California
cory jefferson,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
cory joseph,61.0666922,-107.9917071,Canada,Canada
cotton nash,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
coty clarke,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
courtney alexander,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
courtney fortson,31.8160381,-99.5120986,"Texas, United States of America",Texas
courtney lee,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
courtney sims,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
cozell mcqueen,46.603354,1.8883335,"France métropolitaine, France",France
craig brackins,36.7014631,-118.7559974,"California, United States of America",California
craig dykema,36.7014631,-118.7559974,"California, United States of America",California
craig ehlo,31.8160381,-99.5120986,"Texas, United States of America",Texas
craig hodges,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
craig neal,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
craig raymond,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
craig shelton,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
craig smith,36.7014631,-118.7559974,"California, United States of America",California
cristiano felicio,-10.3333333,-53.2,Brasil,Brazil
cuonzo martin,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
curtis borchardt,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
curtis kitchen,27.7567667,-81.4639835,"Florida, United States of America",Florida
curtis perry,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
curtis rowe,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
cuttino mobley,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
daequan cook,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
dahntay jones,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
dajuan summers,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
dajuan wagner,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
dakari johnson,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dale davis,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
dale ellis,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
dale schlueter,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
dale wilkinson,43.6447642,-114.0154071,"Idaho, United States of America",Idaho
dalibor bagaric,45.5643442,17.0118954,Hrvatska,Croatia
dallas comegys,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
damian jones,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
damian lillard,36.7014631,-118.7559974,"California, United States of America",California
damien inglis,4.0039882,-52.999998,"Guyane, France",French Guiana
damien wilkins,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
damion james,34.5708167,-105.993007,"New Mexico, United States of America",New Mexico
damir markota,44.3053476,17.5961467,Bosna i Hercegovina / Босна и Херцеговина,Bosnia and Herzegovina
damjan rudez,45.5643442,17.0118954,Hrvatska,Croatia
damon jones,31.8160381,-99.5120986,"Texas, United States of America",Texas
damon stoudamire,43.9792797,-120.737257,"Oregon, United States of America",Oregon
damone brown,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
damyean dotson,31.8160381,-99.5120986,"Texas, United States of America",Texas
dan dickau,43.9792797,-120.737257,"Oregon, United States of America",Oregon
dan gadzuric,52.2379891,5.53460738161551,Nederland,Netherlands
dan godfread,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
dan issel,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
dan langhi,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
dan majerle,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
dan mcclintock,36.7014631,-118.7559974,"California, United States of America",California
dan osullivan,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dan roundfield,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
dan swartz,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
dan tieman,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
dana barros,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
dane suttle,36.7014631,-118.7559974,"California, United States of America",California
dangelo russell,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
daniel ewing,27.7567667,-81.4639835,"Florida, United States of America",Florida
daniel gibson,31.8160381,-99.5120986,"Texas, United States of America",Texas
daniel hamilton,36.7014631,-118.7559974,"California, United States of America",California
daniel ochefu,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
daniel orton,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
daniel santiago,31.8160381,-99.5120986,"Texas, United States of America",Texas
daniel theis,51.0834196,10.4234469,"Deutschland, Europe",Germany
danilo gallinari,42.6384261,12.674297,Italia,Italy
danny ainge,43.9792797,-120.737257,"Oregon, United States of America",Oregon
danny doyle,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
danny ferry,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
danny fortson,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
danny granger,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
danny green,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
danny manning,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
danny schayes,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
danny vranes,39.4225192,-111.7143584,"Utah, United States of America",Utah
danny young,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
dante cunningham,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
dante exum,-24.7761086,134.755,Australia,Australia
danuel house,31.8160381,-99.5120986,"Texas, United States of America",Texas
darington hobson,39.5158825,-116.8537227,"Nevada, United States of America",Nevada
dario saric,45.5643442,17.0118954,Hrvatska,Croatia
darius johnson-odom,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
darius miles,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
darius miller,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
darius morris,36.7014631,-118.7559974,"California, United States of America",California
darius songaila,55.3500003,23.7499997,Lietuva,Lithuania
darius washington,27.7567667,-81.4639835,"Florida, United States of America",Florida
darko milicic,44.1534121,20.55144,Србија,Serbia
darnell hillman,36.7014631,-118.7559974,"California, United States of America",California
darnell jackson,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
darnell mee,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
darnell valentine,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
darrall imhoff,36.7014631,-118.7559974,"California, United States of America",California
darrell allums,36.7014631,-118.7559974,"California, United States of America",California
darrell armstrong,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
darrell arthur,31.8160381,-99.5120986,"Texas, United States of America",Texas
darrell elston,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
darrell griffith,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
darrell lockhart,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
darrell walker,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
darren collison,36.7014631,-118.7559974,"California, United States of America",California
darren daye,41.9216734,-93.3122705,"Iowa, United States of America",Iowa
darren morningstar,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
darren tillis,31.8160381,-99.5120986,"Texas, United States of America",Texas
darrick martin,38.7251776,-105.6077167,"Colorado, United States of America",Colorado
darrin hancock,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
darrun hilliard,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
darryl dawkins,27.7567667,-81.4639835,"Florida, United States of America",Florida
darryl johnson,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
darryl watkins,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
darvin ham,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
darwin cook,36.7014631,-118.7559974,"California, United States of America",California
dave batton,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
dave bing,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
dave britton,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dave budd,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
dave corzine,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
dave cowens,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
dave debusschere,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
dave deutsch,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dave feitl,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dave gambee,43.9792797,-120.737257,"Oregon, United States of America",Oregon
dave greenwood,36.7014631,-118.7559974,"California, United States of America",California
dave henderson,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
dave hoppen,41.7370229,-99.5873816,"Nebraska, United States of America",Nebraska
dave jamerson,38.4758406,-80.8408415,"West Virginia, United States of America",West Virginia
dave johnson,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
dave lattin,31.8160381,-99.5120986,"Texas, United States of America",Texas
dave magley,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
dave meyers,36.7014631,-118.7559974,"California, United States of America",California
dave minor,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
dave newmark,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dave popson,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dave robisch,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
dave schellhase,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
dave stallworth,31.8160381,-99.5120986,"Texas, United States of America",Texas
dave twardzik,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dave wohl,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
david andersen,-24.7761086,134.755,Australia,Australia
david benoit,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
david burns,31.8160381,-99.5120986,"Texas, United States of America",Texas
david cooke,36.7014631,-118.7559974,"California, United States of America",California
david harrison,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
david lee,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
david noel,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
david nwaba,36.7014631,-118.7559974,"California, United States of America",California
david pope,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
david rivers,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
david robinson,27.7567667,-81.4639835,"Florida, United States of America",Florida
david stockton,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
david thirdkill,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
david thompson,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
david vanterpool,27.7567667,-81.4639835,"Florida, United States of America",Florida
david vaughn,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
david wear,36.7014631,-118.7559974,"California, United States of America",California
david wesley,31.8160381,-99.5120986,"Texas, United States of America",Texas
david west,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
david wingate,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
david wood,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
davis bertans,56.8406494,24.7537645,Latvija,Latvia
dc wilcutt,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
deaaron fox,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
dean garrett,36.7014631,-118.7559974,"California, United States of America",California
dean meminger,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
dean oliver,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
dean tolson,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
deandre bembry,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
deandre jordan,31.8160381,-99.5120986,"Texas, United States of America",Texas
deandre liggins,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
dedric willoughby,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
dee brown,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
dejounte murray,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
dejuan blair,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dejuan wheat,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
del beshore,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
delaney rudd,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
dell curry,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
dell demps,36.7014631,-118.7559974,"California, United States of America",California
delon wright,36.7014631,-118.7559974,"California, United States of America",California
delonte west,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
demar derozan,36.7014631,-118.7559974,"California, United States of America",California
demarco johnson,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
demarcus cousins,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
demarcus nelson,36.7014631,-118.7559974,"California, United States of America",California
demarre carroll,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
demetris nichols,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
demetrius calip,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
demetrius jackson,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
deng gai,7.8699431,29.6667897,South Sudan,South Sudan
dennis awtrey,36.7014631,-118.7559974,"California, United States of America",California
dennis bell,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
dennis boyd,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
dennis duval,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dennis hamilton,36.7014631,-118.7559974,"California, United States of America",California
dennis hopson,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
dennis horner,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
dennis johnson,36.7014631,-118.7559974,"California, United States of America",California
dennis nutt,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
dennis rodman,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
dennis schroder,51.0834196,10.4234469,"Deutschland, Europe",Germany
dennis scott,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
dennis smith jr,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
denzel valentine,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
dequan jones,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
derek anderson,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
derek fisher,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
derek grimm,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
derek harper,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
derek hood,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
derek smith,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
derek strong,36.7014631,-118.7559974,"California, United States of America",California
dermarr johnson,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
deron williams,38.4758406,-80.8408415,"West Virginia, United States of America",West Virginia
derrek dickey,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
derrick alston,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
derrick brown,36.7014631,-118.7559974,"California, United States of America",California
derrick byars,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
derrick caracter,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
derrick chievous,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
derrick coleman,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
derrick dial,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
derrick favors,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
derrick gervin,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
derrick jones,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
derrick mckey,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
derrick phelps,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
derrick rose,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
derrick rowland,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
derrick walton,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
derrick white,38.7251776,-105.6077167,"Colorado, United States of America",Colorado
derrick williams,36.7014631,-118.7559974,"California, United States of America",California
derrick zimmerman,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
desagana diop,14.4750607,-14.4529612,Sénégal,Senegal
deshawn stevenson,36.7014631,-118.7559974,"California, United States of America",California
desmon farmer,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
desmond ferguson,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
desmond mason,31.8160381,-99.5120986,"Texas, United States of America",Texas
desmond penigar,36.7014631,-118.7559974,"California, United States of America",California
detlef schrempf,51.0834196,10.4234469,"Deutschland, Europe",Germany
devean george,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
devin booker,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
devin brown,39.4225192,-111.7143584,"Utah, United States of America",Utah
devin durrant,39.4225192,-111.7143584,"Utah, United States of America",Utah
devin ebanks,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
devin gray,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
devin green,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
devin harris,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
devyn marble,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
dewayne dedmon,36.7014631,-118.7559974,"California, United States of America",California
dewayne scales,31.8160381,-99.5120986,"Texas, United States of America",Texas
dexter boney,38.6920451,-75.4013315,"Delaware, United States of America",Delaware
dexter cambridge,24.7736546,-78.0000547,The Bahamas,Bahamas
dexter pittman,31.8160381,-99.5120986,"Texas, United States of America",Texas
dexter shouse,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
deyonta davis,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
diamond stone,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
diante garrett,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
dick atha,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
dick barnett,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
dick bunt,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dick cunningham,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
dick dickey,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
dick garmaker,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
dick gibbs,41.9216734,-93.3122705,"Iowa, United States of America",Iowa
dick groat,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dick hemric,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
dick knostman,38.27312,-98.5821872,"Kansas, United States of America",Kansas
dick mcguire,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
dick miller,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
dick okeefe,36.7014631,-118.7559974,"California, United States of America",California
dick ricketts,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dick schnittker,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
dick schulz,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
dick snyder,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
dick triptow,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
dick van arsdale,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
dickey simpkins,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
dijon thompson,36.7014631,-118.7559974,"California, United States of America",California
dike eddleman,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
dikembe mutombo,-15.4139213,28.289698,"Democratic Republic Of Congo, Parirenyetwa Road, Fairview, Lusaka, Lusaka Province, 1010, Zambia",Democratic Republic of the Congo
dillard crocker,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
dillon brooks,61.0666922,-107.9917071,Canada,Canada
dino radja,45.5643442,17.0118954,Hrvatska,Croatia
dion glover,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
dion waiters,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dionte christmas,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
dirk minniefield,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
dirk nowitzki,51.0834196,10.4234469,"Deutschland, Europe",Germany
dj augustin,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
